city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
荆州,149,114,136,1.57,33,71,70,31
金华,61,43,59,0.83,23,57,43,13
济宁,282,231,247,2.13,40,18,11,27
金坛,256,205,233,1.75,38,49,51,29
晋中,82,46,112,1.8,43,28,16,165
锦州,103,76,102,1.26,55,41,37,79
九江,109,81,91,0.74,14,83,76,11
酒泉,53,21,54,0.65,21,63,71,15
鸡西,28,19,26,0.4,9,55,48,5
句容,288,237,240,1.65,58,34,28,29
开封,59,18,65,1.02,24,46,31,19
喀什地区,94,63,136,2.05,38,19,36,2
克拉玛依,55,34,57,1.06,27,24,32,9
克州,71,24,90,0.8,6,70,67,2
库尔勒,58,29,63,1.43,22,49,57,4
昆明,66,47,62,1.43,30,13,15,11
昆山,258,207,268,1.9,33,59,67,29
来宾,71,51,53,0.7,10,71,67,7
莱芜,214,163,204,2.23,69,18,4,46
莱西,179,135,176,1.3,33,39,26,26
莱州,101,72,150,1.3,33,41,18,25
廊坊,68,19,84,0.83,39,42,43,6
兰州,91,59,129,1.94,52,20,20,37
拉萨,61,29,70,0.85,36,47,60,7
乐山,78,57,76,1.28,29,32,21,6
凉山州,49,32,48,1.38,24,61,69,35
连云港,109,81,99,1.22,41,45,24,26
聊城,288,237,296,2.03,52,37,13,26
辽阳,23,9,21,0.57,10,68,44,13
辽源,38,26,33,0.75,16,57,44,13
丽江,53,25,53,1.33,23,73,75,19
临安,148,113,0,1.5,21,94,92,16
临沧,59,38,66,1.3,32,37,37,26
临汾,54,25,56,0.78,25,45,47,72
临夏州,81,59,95,2.15,33,25,31,26
临沂,241,190,232,1.93,58,28,19,39
林芝,45,21,34,0.65,16,74,89,4
林芝地区,18,4,16,0.35,6,51,35,3
丽水,35,24,33,0.7,14,53,49,6
六盘水,81,59,71,1.02,21,86,81,22
柳州,97,72,76,1.1,20,64,61,20
溧阳,251,200,193,1.75,36,54,57,27
陇南,104,77,101,1.05,28,56,70,28
龙岩,15,5,14,0.75,15,20,21,7
娄底,89,66,99,1.56,26,59,60,15
六安,125,94,108,0.75,17,110,107,9
漯河,57,19,62,0.78,27,62,57,16
洛阳,49,13,48,1.0,21,54,48,28
泸州,71,51,67,0.7,38,6,7,17
吕梁,74,42,96,2.3,47,18,17,116
马鞍山,225,174,203,1.76,35,50,46,32
茂名,28,14,27,0.85,16,31,30,16
眉山,99,74,134,1.75,45,8,7,10
梅州,20,10,13,0.8,19,33,38,3
绵阳,99,74,88,0.98,34,49,67,10
牡丹江,62,39,72,0.82,28,43,30,20
南昌,46,31,45,1.11,26,61,62,9
南充,69,49,80,1.08,49,39,40,12
南京,242,191,218,1.54,46,42,39,20
南宁,31,16,30,0.95,23,48,42,9
南平,19,10,18,0.7,15,21,20,6
南通,198,148,158,1.64,35,59,61,32
南阳,315,264,0,2.16,70,26,20,7
那曲地区,122,54,191,1.3,15,46,45,6
内江,76,55,84,1.8,39,3,3,16
宁波,122,92,104,1.34,28,66,59,19
宁德,21,9,20,0.67,16,30,25,9
怒江州,62,24,72,1.2,34,19,27,11
盘锦,50,14,49,0.7,22,65,28,28
攀枝花,141,107,191,4.92,70,12,10,84
蓬莱,88,27,124,1.4,17,65,62,11
平顶山,61,25,70,0.65,25,60,64,17
平度,188,141,193,2.1,42,31,12,32
平凉,63,41,74,0.8,34,47,33,26
萍乡,109,81,99,1.23,17,36,42,16
普洱,85,26,118,0.9,43,26,24,7
莆田,16,9,13,0.7,20,32,30,6
濮阳,208,157,209,2.78,51,34,16,33
黔东南州,109,81,94,1.05,23,93,101,18
黔南州,85,62,77,1.3,15,77,76,12
黔西南州,24,12,23,1.05,17,14,17,5
青岛,130,98,147,1.51,52,37,32,30
庆阳,41,18,40,0.67,25,53,59,46
清远,21,9,12,1.0,20,39,41,6
秦皇岛,72,18,91,1.02,29,58,38,20
钦州,32,22,30,0.8,12,63,58,13
齐齐哈尔,50,34,49,0.9,21,54,55,28
七台河,63,44,66,0.57,19,46,43,12
泉州,22,10,21,0.6,25,28,26,9
曲靖,39,13,38,1.1,26,17,21,11
衢州,55,38,42,0.77,18,43,24,7
日喀则,47,21,46,1.2,42,44,74,13
日喀则地区,29,6,27,0.35,2,68,56,5
日照,111,83,144,1.4,56,38,18,31
荣成,61,24,69,0.9,13,62,59,10
乳山,88,65,109,1.45,20,48,38,20
三门峡,37,11,36,0.7,29,39,37,23
三明,14,7,13,0.73,17,23,26,8
三沙,30,7,20,0.3,30,51,58,6
三亚,14,5,13,0.9,15,20,24,1
上海,175,132,147,1.58,47,57,62,30
商洛,53,32,54,0.75,29,50,58,6
商丘,243,192,231,1.48,40,25,19,12
上饶,45,31,38,1.17,16,17,9,11
山南,88,24,123,0.95,33,55,71,7
山南地区,40,5,21,0.45,6,65,79,4
汕头,21,7,20,0.92,22,25,21,11
汕尾,19,7,15,0.77,11,36,36,7
韶关,42,29,35,0.96,20,43,46,9
绍兴,143,109,181,1.29,36,71,64,18
邵阳,142,108,132,1.22,19,79,76,26
沈阳,42,14,41,0.55,18,62,44,18
